Elec Peak Const,Most Probable Value Elec (ns),Sigma Elec (Multiplier),Gamma Peak Const,Most Probable Value Gamm (ns),Sigma Gamma (Multiplier),Corrected Height Electron,Corrected Height Gamma,
2496.69,20.4487,18.1397,91.1156,4015.53,26.5093,446.544,16.2964,
2547.77,19.7485,18.0332,135.584,20037,19.9388,455.68,24.2497,
2515.33,21.2071,18.3035,120.582,1643.73,22.0855,449.877,21.5665,
2436.74,21.4819,18.8784,133.527,857.983,8.77214,435.821,23.8818,
2443.79,20.5655,18.5589,133.148,3274.41,21.9736,437.082,23.8141,
2465.01,21.0885,18.0868,130.888,3275.32,18.8005,440.877,23.4098,
2501.91,17.9619,20.2587,134.037,307.596,7.06019,447.477,23.973,
2397.38,20.1704,18.5124,-890038,1208.58,-569.361,428.781,-0,
2442.6,22.0203,18.6263,112.917,4959.41,22.1793,436.869,20.1958,
2788.32,10.667,7.90916,1116.7,62.5409,19.1598,498.702,199.727,
2420.13,20.1915,19.0442,88.631,11612.4,27.7608,432.851,15.852,
2603.64,19.0149,17.4562,95.6736,2454.14,23.2567,465.672,17.1116,
856.398,65.5829,19.6595,3215.17,0,11.0982,153.17,575.047,
2442.33,21.0791,18.7269,65.6216,6030.15,34.9785,436.82,11.7367,
1321.83,18.3053,19.754,77.6697,2386.98,29.4631,236.415,13.8916,
2483.11,19.8608,18.5147,136.557,3692.42,18.7556,444.114,24.4237,
2492.54,19.384,18.3547,119.338,3090.09,22.1781,445.802,21.3441,
2506.26,21.1521,18.0569,108.412,2232.3,21.8227,448.255,19.3899,
2470.07,21.4275,18.5174,134.817,8081.08,21.4415,441.782,24.1126,
2502.74,19.8345,18.2154,98.2415,1142.42,20.9616,447.625,17.5709,
2493.45,20.3793,18.4023,112.238,2847.72,25.1379,445.963,20.0742,
2532.04,19.0067,18.035,112.557,5208.66,20.7581,452.865,20.1312,
2550.8,20.2135,18.1582,119.628,2989.34,19.6275,456.221,21.3959,
2469.6,21.5254,18.6906,119.373,8864.87,16.1745,441.698,21.3504,
2520.47,20.759,18.0614,116.685,7702.16,22.4442,450.797,20.8696,
2465.23,19.8491,18.2307,142.058,842.065,16.176,440.917,25.4076,
2489.87,19.467,16.0712,326.775,122.521,13.2282,445.323,58.4451,
2504.95,18.5341,18.8624,108.983,2047.45,21.1747,448.021,19.492,
2609.45,17.1633,15.7455,307.559,122.509,16.3212,466.71,55.0082,
2461.89,20.4299,18.2786,90.4305,3784.82,21.29,440.319,16.1739,
2421.66,21.6383,18.5032,109.544,7127.85,18.6391,433.125,19.5924,
2453.98,21.078,18.5606,84.243,2199.68,25.9919,438.905,15.0672,
-1894.58,2.59635,-8.59288,1287.48,62.5083,23.8862,-0,230.272,
2394.5,21.763,18.2138,100.048,2464.57,22.2377,428.266,17.8939,
2434.25,21.8118,18.7313,132.325,4024.02,20.911,435.375,23.6668,
2557.21,19.0425,18.1227,181.429,3367.06,9.1856,457.368,32.4493,
2467.73,20.233,18.5463,69.8484,707.451,20.37,441.364,12.4927,
2430.19,19.9439,18.3338,112.062,4018.5,22.8388,434.649,20.0427,
2497.13,19.8635,18.5652,114.502,3752.99,22.816,446.622,20.4791,
2471.6,20.569,18.2408,129.486,7799.03,21.366,442.055,23.1591,
2485.57,20.3184,17.9511,174.547,7907.79,8.97168,444.554,31.2185,
2514.91,18.1604,20.853,4153.66,403.704,-324.922,449.802,0,
2503.79,19.9964,17.7753,119.955,2588.67,20.7853,447.814,21.4545,
2416.2,20.4216,18.6048,125.056,23998.5,21.0679,432.148,22.3668,
1520.32,20.0447,19.0355,109.87,1169.34,16.0069,271.916,19.6507,
2368.93,22.58,18.8359,127.765,8451.92,20.2041,423.693,22.8513,
6563.87,-107.283,52.3006,-1148.5,87.4909,97.547,1173.97,-205.415,
2430.19,20.1787,18.811,114.178,1011.98,20.3382,434.649,20.4212,
2260.59,20.6884,18.2039,65.5646,2395.43,32.9833,404.316,11.7265,
2486.46,18.2175,18.8515,155.89,7739.69,9.91909,444.714,27.8815,
2457.39,21.0539,18.4053,114.911,4377.32,21.249,439.515,20.5522,
2419,22.2769,17.8383,-547.127,2409.51,-5.98462,432.648,-0,
2485.91,19.2997,19.0272,111.2,802.41,17.5699,444.615,19.8887,
2463.54,20.7258,17.9359,184.082,1487.56,7.21883,440.615,32.9239,
2476.85,19.9827,18.3652,117.163,1847.92,18.4959,442.995,20.9551,
2400.24,21.6114,18.8986,66.3344,1772.67,30.8387,429.293,11.8642,
2535.61,19.3373,18.5833,64.2899,7464.36,31.2227,453.504,11.4985,
2584.98,12.5689,15.8539,359.947,102.536,24.692,462.334,64.378,
2471.83,20.7931,18.6974,113.014,7298.58,26.9491,442.097,20.2131,
2541.4,22.1173,17.8608,213.65,147.745,9.99472,454.541,38.2122,
2550.81,19.339,18.3481,126.585,11982.4,21.1263,456.223,22.6403,
278.835,21.8868,20.3715,62.8624,3665.49,18.1992,49.8707,11.2432,
2438.13,22.44,18.2952,180.044,4826.98,7.97012,436.069,32.2015,
2458.78,21.9818,18.3669,121.709,9237.26,22.0065,439.762,21.7681,
2579.68,19.0192,18.4279,115.335,8772.09,20.9253,461.386,20.6281,
2424.12,20.7237,18.4934,-855757,974.234,-91.3584,433.564,-0,
565.073,17.7068,16.588,94.9851,102.886,16.4714,101.066,16.9885,
2475.56,20.3304,18.2196,83.5205,14467.3,24.723,442.765,14.938,
2555.83,19.5938,18.4158,68.8859,1088.33,22.4139,457.121,12.3205,
2422.89,22.3348,18.3598,106.329,1727.48,23.2443,433.345,19.0175,
2401.77,20.5382,18.4456,379.549,25727.8,-103.454,429.567,0,
2488.38,19.7998,18.4032,111.38,3705.79,20.2242,445.057,19.9208,
2463.96,20.5184,18.8313,114.448,2048.44,19.8725,440.69,20.4695,
2438.67,19.9017,18.7644,109.167,5117.7,26.3224,436.167,19.525,
2060.06,19.6827,18.3196,-765439,3211.78,-129.278,368.45,-0,
2453.52,20.9375,18.2924,97.5005,3885.23,22.774,438.822,17.4384,
2439.02,20.5294,18.691,111.191,1402.04,21.3723,436.228,19.8871,
2526.89,18.9123,18.2707,92.4123,992.73,22.4747,451.945,16.5283,
1606.21,20.3529,19.3732,96.1454,7578.19,26.2968,287.278,17.196,
2431.03,20.8317,18.6685,90.3599,1157.06,27.2817,434.8,16.1613,
